مشاع؟,نوع العقار,سعر المتر,المساحة,سعر العملية,نوع العملية,القطعة,المخطط,الحي,المدينة,المنطقة,التاريخ
كامل العقار,قطعة أرض,1333.0,450.0,600000.0,صفقة,359 / 1 / 2 / أ,99 / ج / س / المعدل,الفنار,جدة,منطقة مكة المكرمة,2025-10-26
كامل العقار,شقة,3494.0,120.0,419000.0,صفقة,3 / 1,588 / ج / س,الواحة,جدة,منطقة مكة المكرمة,2025-06-12
كامل العقار,شقة,2122.0,118.0,250000.0,صفقة,13,391 / ج / س,الواحة,جدة,منطقة مكة المكرمة,2025-10-27
كامل العقار,شقة,2678.0,187.0,500000.0,صفقة,7 / 606,416 / ج / س,بريمان,جدة,منطقة مكة المكرمة,2025-08-26
كامل العقار,قطعة أرض,1648.0,625.0,1030000.0,صفقة,1003 / ج,268 / ب,البشائر,جدة,منطقة مكة المكرمة,2026-01-14
كامل العقار,شقة,3634.0,151.0,550000.0,صفقة,3 / 4,بدون,الشرفية,جدة,منطقة مكة المكرمة,2025-06-29
كامل العقار,قطعة أرض,1122.0,446.0,500000.0,صفقة,889 / 1,244 / ج / س,الغدير,جدة,منطقة مكة المكرمة,2025-06-22
كامل العقار,قطعة أرض,622.0,450.0,280000.0,صفقة,1123 / 2 / 2ر,244 / ج / س,الفرقان,جدة,منطقة مكة المكرمة,2026-02-26
كامل العقار,قطعة أرض,2256.0,567.0,1279747.0,صفقة,بدون,بدون,عنيكش,جدة,منطقة مكة المكرمة,2025-06-17
كامل العقار,شقة,3348.0,119.0,400000.0,صفقة,2 / 1,3 / 477 / ع / المعدل,النزهة,جدة,منطقة مكة المكرمة,2025-12-22
كامل العقار,قطعة أرض,4333.0,300.0,1300000.0,صفقة,1092 / 1 / ج,290 / ب / 1402,الرحمانية,جدة,منطقة مكة المكرمة,2025-06-17
كامل العقار,شقة,2901.0,103.0,299000.0,صفقة,3 / 4,588 / ج / س,الواحة,جدة,منطقة مكة المكرمة,2025-12-27
كامل العقار,قطعة أرض,3441.0,291.0,1000000.0,صفقة,28 / 1,376 / ج / س,الصالحية,جدة,منطقة مكة المكرمة,2025-12-03
كامل العقار,شقة,3524.0,199.0,700000.0,صفقة,4 / أ,586 / ج / س,حكومى,جدة,منطقة مكة المكرمة,2025-10-20
كامل العقار,شقة,2891.0,197.0,569189.0,صفقة,3 / 6,9 / 2944 / 1 / س المعدل2,بدون,جدة,منطقة مكة المكرمة,2025-11-20
كامل العقار,قطعة أرض,4818.0,59.0,286200.0,صفقة,بدون,بدون,الهنداوية,جدة,منطقة مكة المكرمة,2026-01-11
كامل العقار,قطعة أرض,4159.0,625.0,2600000.0,صفقة,12,المنح رقم 9,الصفا,جدة,منطقة مكة المكرمة,2025-08-11
كامل العقار,شقة,3543.0,107.0,380000.0,صفقة,3 / 2,335 / ج / س,المروة,جدة,منطقة مكة المكرمة,2025-07-09
كامل العقار,قطعة أرض,4807.0,5825.0,28000000.0,صفقة,56 / د,3 / 471 / ع,الربوه,جدة,منطقة مكة المكرمة,2025-09-11
كامل العقار,شقة,3108.0,201.0,625000.0,صفقة,3 / أ,260 / ب,الريان,جدة,منطقة مكة المكرمة,2025-07-06
كامل العقار,قطعة أرض,5451.0,347.0,1888845.0,صفقة,بدون,بدون,الجامعة,جدة,منطقة مكة المكرمة,2025-05-26
كامل العقار,شقة,3293.0,135.0,443000.0,صفقة,4 / 1,434 / ج / س,ام حبلين الغربية,جدة,منطقة مكة المكرمة,2025-11-09
كامل العقار,شقة,2795.0,222.0,621730.0,صفقة,3 / 3,416 / ج / س,الريان,جدة,منطقة مكة المكرمة,2025-09-03
كامل العقار,قطعة أرض,5909.0,550.0,3250000.0,صفقة,135,3 / 361 / ع,البوادى,جدة,منطقة مكة المكرمة,2025-06-24
كامل العقار,شقة,3712.0,186.0,690000.0,صفقة,1 / 2,480 / ج / س / المعدل,الفيحاء,جدة,منطقة مكة المكرمة,2025-11-06
كامل العقار,قطعة أرض,5000.0,2320.0,11599950.0,صفقة,306,480 / ج / س / المعدل,الفيحاء,جدة,منطقة مكة المكرمة,2025-10-23
كامل العقار,شقة,8365.0,96.0,800000.0,صفقة,121,ابحر الجنوبية,الشاطى,جدة,منطقة مكة المكرمة,2025-10-21
كامل العقار,شقة,7216.0,79.0,570000.0,صفقة,2 / أ,3 / 156 / ع,الروضة,جدة,منطقة مكة المكرمة,2025-07-28
كامل العقار,قطعة أرض,2600.0,750.0,1950000.0,صفقة,253,144 / ب المعدل,الياقوت,جدة,منطقة مكة المكرمة,2026-02-10
كامل العقار,قطعة أرض,2600.0,690.0,1794000.0,صفقة,208,144 / ب المعدل,الياقوت,جدة,منطقة مكة المكرمة,2025-12-08
كامل العقار,قطعة أرض,2254.0,116.0,261408.0,صفقة,بدون,بدون,الثغر,جدة,منطقة مكة المكرمة,2025-12-11
كامل العقار,قطعة أرض,552.0,620.0,342503.0,صفقة,1024 / 2 / ص,244 / ج / س,جوهرة العروس,جدة,منطقة مكة المكرمة,2025-07-08
كامل العقار,قطعة أرض,2938.0,150.0,441934.0,صفقة,بدون,بدون,السبيل,جدة,منطقة مكة المكرمة,2025-11-30
كامل العقار,شقة,2686.0,240.0,644514.0,صفقة,1 / 4,9 / 2944 / 1 / س المعدل2,بدون,جدة,منطقة مكة المكرمة,2025-09-16
كامل العقار,قطعة أرض,2899.0,259.0,750000.0,صفقة,1019 / ب,230 / ب,أبحر الشمالية,جدة,منطقة مكة المكرمة,2025-07-31
كامل العقار,شقة,10233.0,186.0,1900000.0,صفقة,4 / ح1,3 / 464 / ع,الزهراء,جدة,منطقة مكة المكرمة,2026-02-26
كامل العقار,شقة,3507.0,74.0,260000.0,صفقة,3 / أ,3 / 477 / ع,النزهة,جدة,منطقة مكة المكرمة,2025-11-06
كامل العقار,شقة,2722.0,233.0,633094.0,صفقة,2 / 1,9 / 2944 / 1 / س المعدل2,بدون,جدة,منطقة مكة المكرمة,2025-10-14
كامل العقار,شقة,3299.0,130.0,429000.0,صفقة,1 / أ,656 / ج / س,المنار,جدة,منطقة مكة المكرمة,2025-12-08
كامل العقار,قطعة أرض,4615.0,650.0,3000000.0,صفقة,535,399 / ب,النزهة,جدة,منطقة مكة المكرمة,2025-12-01
كامل العقار,شقة,3012.0,105.0,315000.0,صفقة,1 / 3,588 / ج / س,الواحة,جدة,منطقة مكة المكرمة,2025-12-27
